ENSG_id	LFC	gene_symbol
ENSG00000184678	-1.074274806	HIST2H2BE
ENSG00000145220	-1.073634326	LYAR
ENSG00000140044	-1.073253065	JDP2
ENSG00000007062	-1.073217678	PROM1
ENSG00000231167	-1.072464502	YBX1P2
ENSG00000108384	-1.072306955	RAD51C
ENSG00000132436	-1.071791825	FIGNL1
ENSG00000153956	-1.068754397	CACNA2D1
ENSG00000145147	-1.064406543	SLIT2
ENSG00000225648	-1.063575924	SBDSP1
ENSG00000178826	-1.063256754	TMEM139
ENSG00000115053	-1.062895975	NCL
ENSG00000088386	-1.061378773	SLC15A1
ENSG00000167232	-1.060850677	ZNF91
ENSG00000162191	-1.060395625	UBXN1
ENSG00000099800	-1.058020612	TIMM13
ENSG00000254331	-1.057884072	CKS1BP7
ENSG00000263006	-1.057853285	ROCK1P1
ENSG00000108055	-1.056378254	SMC3
ENSG00000171497	-1.054056131	PPID
ENSG00000224628	-1.052091025	RP5-854E16.2
ENSG00000231043	-1.051503562	AC007238.1
ENSG00000249631	-1.051028283	RP11-281P23.2
ENSG00000126698	-1.047645068	DNAJC8
ENSG00000111981	-1.043158086	ULBP1
ENSG00000259917	-1.04307022	HNRNPLP2
ENSG00000114315	-1.042694417	HES1
ENSG00000169302	-1.042370571	STK32A
ENSG00000150636	-1.041978542	CCDC102B
ENSG00000224837	-1.041432704	GCSHP5
ENSG00000160783	-1.040628288	PMF1
ENSG00000241506	-1.040186351	PSMC1P1
ENSG00000270103	-1.037563155	RNU11
ENSG00000071575	-1.037269086	TRIB2
ENSG00000122952	-1.035972141	ZWINT
ENSG00000116161	-1.035733639	CACYBP
ENSG00000138193	-1.032949486	PLCE1
ENSG00000165480	-1.032044021	SKA3
ENSG00000169230	-1.031884756	PRELID1
ENSG00000066629	-1.031343081	EML1
ENSG00000184110	-1.030816013	EIF3C
ENSG00000154146	-1.023873075	NRGN
ENSG00000233822	-1.018908844	HIST1H2BN
ENSG00000070761	-1.018432779	C16orf80
ENSG00000235916	-1.017976675	RP13-444K19.1
ENSG00000154723	-1.017842211	ATP5J
ENSG00000234558	-1.017546864	API5P1
ENSG00000010278	-1.016922992	CD9
ENSG00000144158	-1.016748733	RP11-395L14.17
ENSG00000204815	-1.01648925	TTC25
ENSG00000232888	-1.016377921	RPS11P5
ENSG00000248966	-1.015848339	CTD-2089O24.1
ENSG00000141404	-1.015234058	GNAL
ENSG00000196268	-1.013827909	ZNF493
ENSG00000166250	-1.013742067	CLMP
ENSG00000124635	-1.013427449	HIST1H2BJ
ENSG00000111445	-1.013031063	RFC5
ENSG00000213707	-1.012694082	HMGB1P10
ENSG00000115241	-1.011914557	PPM1G
ENSG00000153363	-1.011530953	LINC00467
ENSG00000102241	-1.0082377	HTATSF1
ENSG00000175305	-1.00686236	CCNE2
ENSG00000231799	-1.00682725	RP13-93L13.2
ENSG00000185651	-1.005746245	UBE2L3
ENSG00000134809	-1.005577786	TIMM10
ENSG00000249116	-1.00518569	CTD-2194D22.3
ENSG00000171223	-1.002932062	JUNB
ENSG00000197744	-1.001937144	PTMAP2
ENSG00000220695	-1.001637397	RP1-121G13.3
ENSG00000142534	-1.001501258	RPS11
ENSG00000240371	-1.000458378	RPS4XP13
ENSG00000258357	-0.99961132	RP11-778J16.2
ENSG00000130204	-0.999506972	TOMM40
ENSG00000184348	-0.998448765	HIST1H2AK
ENSG00000167283	-0.9978849	ATP5L
ENSG00000065618	-0.997879087	COL17A1
ENSG00000163170	-0.997687523	BOLA3
ENSG00000261777	-0.996305575	RP11-529K1.2
ENSG00000214077	-0.995595622	GNAQP1
ENSG00000184967	-0.994944405	NOC4L
ENSG00000224962	-0.993930811	PSAT1P4
ENSG00000113070	-0.993894019	HBEGF
ENSG00000101464	-0.992808433	PIGU
ENSG00000109881	-0.99218281	CCDC34
ENSG00000105401	-0.989586673	CDC37
ENSG00000266876	-0.989175172	RP11-1148O4.1
ENSG00000105855	-0.989068477	ITGB8
ENSG00000006712	-0.988728339	PAF1
ENSG00000132967	-0.98843222	HMGB1P5
ENSG00000164647	-0.988395319	STEAP1
ENSG00000116667	-0.988316307	C1orf21
ENSG00000099797	-0.98570107	TECR
ENSG00000133142	-0.985226095	TCEAL4
ENSG00000111615	-0.985120493	KRR1
ENSG00000125378	-0.984960038	BMP4
ENSG00000267073	-0.98257332	AC005256.1
ENSG00000100583	-0.982435334	SAMD15
ENSG00000106268	-0.981001608	NUDT1
ENSG00000213740	-0.979468726	SERBP1P1
ENSG00000112118	-0.97922821	MCM3
ENSG00000137801	-0.979001653	THBS1
ENSG00000132780	-0.978861557	NASP
ENSG00000253954	-0.978291332	HMGN1P38
ENSG00000205078	-0.978236972	SYCE1L
ENSG00000196176	-0.976969142	HIST1H4A
ENSG00000242265	-0.976636149	PEG10
ENSG00000128965	-0.976500278	CHAC1
ENSG00000215835	-0.975906196	RP11-9L18.2
ENSG00000232150	-0.973293144	ST13P4
ENSG00000165502	-0.971054168	RPL36AL
ENSG00000230562	-0.970885198	FAM133DP
ENSG00000108106	-0.970803411	UBE2S
ENSG00000258090	-0.969391011	RP11-734E19.1
ENSG00000214182	-0.967807611	PTMAP5
ENSG00000235043	-0.965164685	TECRP1
ENSG00000143256	-0.964282692	PFDN2
ENSG00000174371	-0.964035773	EXO1
ENSG00000188486	-0.962941022	H2AFX
ENSG00000225739	-0.962586272	NPM1P18
ENSG00000171960	-0.962014964	PPIH
ENSG00000164985	-0.960697719	PSIP1
ENSG00000236048	-0.960528377	AC013470.6
ENSG00000198042	-0.959574287	MAK16
ENSG00000135698	-0.959261125	MPHOSPH6
ENSG00000130748	-0.958555879	TMEM160
ENSG00000056050	-0.95808389	C4orf27
ENSG00000159259	-0.957803392	CHAF1B
ENSG00000259838	-0.957360245	TCEB1P2
ENSG00000087087	-0.956558263	SRRT
ENSG00000072501	-0.956412344	SMC1A
ENSG00000073711	-0.956085735	PPP2R3A
ENSG00000166228	-0.955831528	PCBD1
ENSG00000079215	-0.955039417	SLC1A3
ENSG00000105383	-0.954232751	CD33
ENSG00000183022	-0.95399592	TPM3P8
ENSG00000167670	-0.952665813	CHAF1A
ENSG00000139946	-0.952089174	PELI2
ENSG00000175467	-0.951120565	SART1
ENSG00000188404	-0.95097307	SELL
ENSG00000163472	-0.946991736	TMEM79
ENSG00000239039	-0.945936298	SNORD13
ENSG00000100941	-0.943829704	PNN
ENSG00000169035	-0.943374312	KLK7
ENSG00000235847	-0.942427024	LDHAP7
ENSG00000254531	-0.941179826	AP001816.1
ENSG00000232952	-0.940152469	RP11-90H3.1
ENSG00000261183	-0.939979861	RP11-532F12.5
ENSG00000148291	-0.939684226	SURF2
ENSG00000117877	-0.939568952	CD3EAP
ENSG00000138772	-0.936978405	ANXA3
ENSG00000261061	-0.936895594	RP11-303E16.2
ENSG00000129514	-0.936680476	FOXA1
ENSG00000198157	-0.934365324	HMGN5
ENSG00000209482	-0.932257411	SNORD83A
ENSG00000174514	-0.931150848	MFSD4
ENSG00000213070	-0.930600145	HMGB3P6
ENSG00000197451	-0.9298049	HNRNPAB
ENSG00000133773	-0.927666762	CCDC59
ENSG00000184825	-0.927390902	HIST1H2AH
ENSG00000113068	-0.927317025	PFDN1
ENSG00000102898	-0.926534428	NUTF2
ENSG00000136943	-0.92525961	CTSV
ENSG00000250479	-0.924389516	CHCHD10
ENSG00000176386	-0.924279701	CDC26
ENSG00000146677	-0.924114025	AC004453.8
ENSG00000087074	-0.92401581	PPP1R15A
ENSG00000173848	-0.923794888	NET1
ENSG00000124097	-0.923528203	HMGB1P1
ENSG00000064270	-0.920059718	ATP2C2
ENSG00000181649	-0.919156479	PHLDA2
ENSG00000213866	-0.918195269	YBX1P10
ENSG00000187840	-0.917106371	EIF4EBP1
ENSG00000006042	-0.916920598	TMEM98
ENSG00000225573	-0.915096406	RPL35P5
ENSG00000235655	-0.914405941	H3F3AP4
ENSG00000102882	-0.912534931	MAPK3
ENSG00000141682	-0.91205776	PMAIP1
ENSG00000213763	-0.911956303	ACTBP2
ENSG00000269439	-0.911004131	CTD-3131K8.2
ENSG00000136810	-0.91064754	TXN
ENSG00000257175	-0.909801262	RP11-536C10.12
ENSG00000137440	-0.908977421	FGFBP1
ENSG00000216866	-0.906696912	RPS2P55
ENSG00000183199	-0.906166567	HSP90AB3P
ENSG00000230667	-0.904359518	SETSIP
ENSG00000131462	-0.903902164	TUBG1
ENSG00000104825	-0.903887112	NFKBIB
ENSG00000228519	-0.902497782	RP11-298C3.2
ENSG00000206885	-0.901483649	SNORA75
ENSG00000065328	-0.901423259	MCM10
ENSG00000025423	-0.900560017	HSD17B6
ENSG00000089327	-0.898569175	FXYD5
ENSG00000117133	-0.89789351	RPF1
ENSG00000160124	-0.89743262	CCDC58
ENSG00000162409	-0.897257318	PRKAA2
ENSG00000175334	-0.896585438	BANF1
ENSG00000159055	-0.896269891	MIS18A
ENSG00000254473	-0.896188468	RP11-522I20.3
ENSG00000271359	-0.895819939	RP11-84C13.1
ENSG00000236671	-0.895249023	PRKG1-AS1
ENSG00000180015	-0.895236665	RP11-756P10.3
ENSG00000176092	-0.894229812	AIM1L
ENSG00000273079	-0.891964626	GRIN2B
ENSG00000233762	-0.890901818	AC007969.5
ENSG00000080824	-0.890500473	HSP90AA1
ENSG00000124784	-0.889271869	RIOK1
ENSG00000232389	-0.8892483	RP11-134K13.2
ENSG00000234337	-0.889096011	RP11-297L17.6
ENSG00000005187	-0.888617592	ACSM3
ENSG00000169715	-0.887895337	MT1E
ENSG00000235269	-0.886945876	AL162759.1
ENSG00000092470	-0.886804584	WDR76
ENSG00000213225	-0.884546906	AC018804.7
ENSG00000036448	-0.88383771	MYOM2
ENSG00000259516	-0.883762267	ANP32AP1
ENSG00000231989	-0.883642933	PPP1R2P3
ENSG00000102977	-0.883341529	ACD
ENSG00000238072	-0.88266759	RP11-305M3.2
ENSG00000228716	-0.881901707	DHFR
ENSG00000133935	-0.880261626	C14orf1
ENSG00000113141	-0.878972313	IK
ENSG00000212456	-0.877863052	RNVU1-13
ENSG00000226781	-0.877825815	TBCAP1
ENSG00000182774	-0.877214393	RPS17L
ENSG00000185022	-0.87666726	MAFF
ENSG00000087365	-0.876614702	SF3B2
ENSG00000106245	-0.875776671	BUD31
ENSG00000106244	-0.874383009	PDAP1
ENSG00000226976	-0.873182367	COX6A1P2
ENSG00000147804	-0.873103656	SLC39A4
ENSG00000147592	-0.87276839	LACTB2
ENSG00000234964	-0.872668355	FABP5P7
ENSG00000158716	-0.872594506	DUSP23
ENSG00000182379	-0.870041801	NXPH4
ENSG00000143793	-0.869965163	C1orf35
ENSG00000134996	-0.86962937	OSTF1
ENSG00000242670	-0.867531912	RP11-601I15.1
ENSG00000100591	-0.866960486	AHSA1
ENSG00000105185	-0.865754467	PDCD5
ENSG00000133027	-0.863933581	PEMT
ENSG00000225536	-0.862666257	RP6-145B8.3
ENSG00000164346	-0.86258451	NSA2
ENSG00000099783	-0.862453691	HNRNPM
ENSG00000069020	-0.859904975	MAST4
ENSG00000173486	-0.859599021	FKBP2
ENSG00000213015	-0.859211308	ZNF580
ENSG00000007372	-0.859182925	PAX6
ENSG00000125968	-0.858779704	ID1
ENSG00000103275	-0.858680733	UBE2I
ENSG00000103202	-0.858089704	NME4
ENSG00000156802	-0.857840239	ATAD2
ENSG00000214192	-0.856964531	UBE2V1P2
ENSG00000116574	-0.85695474	RHOU
ENSG00000248383	-0.855996549	PCDHAC1
ENSG00000172062	-0.854790137	SMN1
ENSG00000182795	-0.854617068	C1orf116
ENSG00000224046	-0.852438335	AC005076.5
ENSG00000214027	-0.85233383	ARPC3P5
ENSG00000131773	-0.850043656	KHDRBS3
ENSG00000222724	-0.848001678	RNU2-63P
ENSG00000117395	-0.847916555	EBNA1BP2
ENSG00000101888	-0.847871146	NXT2
ENSG00000240972	-0.847587008	MIF
ENSG00000226015	-0.84628106	CCT8P1
ENSG00000155657	-0.845884761	TTN
ENSG00000162444	-0.845689216	RBP7
ENSG00000077942	-0.84531691	FBLN1
ENSG00000140259	-0.84436821	MFAP1
ENSG00000236456	-0.844294173	RP4-785G19.2
ENSG00000235489	-0.844186546	DBF4P1
ENSG00000263934	-0.843984823	SNORD3A
ENSG00000117394	-0.84396787	SLC2A1
ENSG00000198056	-0.843965796	PRIM1
ENSG00000072201	-0.843590004	LNX1
ENSG00000165046	-0.843259892	LETM2
ENSG00000182768	-0.842829632	NGRN
ENSG00000124383	-0.842192622	MPHOSPH10
ENSG00000124733	-0.841382389	MEA1
ENSG00000135972	-0.841237206	MRPS9
ENSG00000158089	-0.840581156	GALNT14
ENSG00000189057	-0.84053181	FAM111B
ENSG00000198039	-0.840520829	ZNF273
ENSG00000198715	-0.840476185	C1orf85
ENSG00000188985	-0.839869642	DHFRP1
ENSG00000210107	-0.839533637	MT-TQ
ENSG00000031691	-0.83930395	CENPQ
ENSG00000197747	-0.838842576	S100A10
ENSG00000132170	-0.838580737	PPARG
ENSG00000174028	-0.838571918	FAM3C2
ENSG00000164897	-0.838403394	TMUB1
ENSG00000115423	-0.837980687	DNAH6
ENSG00000121900	-0.837844814	TMEM54
ENSG00000199347	-0.837723108	RNU5E-1
ENSG00000073111	-0.835009702	MCM2
ENSG00000171791	-0.833929351	BCL2
ENSG00000110200	-0.833421651	ANAPC15
ENSG00000123064	-0.833377713	DDX54
ENSG00000175550	-0.831134427	DRAP1
ENSG00000184983	-0.830605455	NDUFA6
ENSG00000103550	-0.826261273	KNOP1
ENSG00000113430	-0.826173765	IRX4
ENSG00000141994	-0.825440535	DUS3L
ENSG00000008988	-0.82522739	RPS20
ENSG00000229097	-0.824828662	CALM2P2
ENSG00000134802	-0.824787828	SLC43A3
ENSG00000172164	-0.824621747	SNTB1
ENSG00000224722	-0.823004548	PRNCR1
ENSG00000143321	-0.82154916	HDGF
ENSG00000158526	-0.821510692	TSR2
ENSG00000129173	-0.821361175	E2F8
ENSG00000224126	-0.820701161	UBE2SP2
ENSG00000236852	-0.820400237	RP11-3D23.1
ENSG00000151725	-0.820181688	CENPU
ENSG00000089356	-0.819784375	FXYD3
ENSG00000253552	-0.819662187	HOXA-AS2
ENSG00000198816	-0.819456036	ZNF358
ENSG00000142657	-0.818906886	PGD
ENSG00000153015	-0.818721229	CWC27
ENSG00000188976	-0.818580706	NOC2L
ENSG00000225159	-0.817661626	NPM1P39
ENSG00000263535	-0.81731854	AK4P1
ENSG00000175344	-0.817058032	CHRNA7
ENSG00000235912	-0.815672886	RP1-159A19.3
ENSG00000097046	-0.815357584	CDC7
ENSG00000117407	-0.815289372	ARTN
ENSG00000166477	-0.814660548	LEO1
ENSG00000104883	-0.814294588	PEX11G
ENSG00000197409	-0.81421877	HIST1H3D
ENSG00000130816	-0.813279949	DNMT1
ENSG00000273352	-0.811930155	RP11-61L19.3
ENSG00000181191	-0.810846462	PJA1
ENSG00000162385	-0.810487933	MAGOH
ENSG00000118922	-0.810061886	KLF12
ENSG00000164104	-0.809114904	HMGB2
ENSG00000171222	-0.808183785	SCAND1
ENSG00000126215	-0.807851485	XRCC3
ENSG00000105982	-0.807615691	RNF32
ENSG00000034063	-0.807596863	UHRF1
ENSG00000259948	-0.806948293	RP11-326A19.5
ENSG00000236493	-0.806943723	EIF2S2P3
ENSG00000158062	-0.806504201	UBXN11
ENSG00000253919	-0.806321804	PRKRIRP7
ENSG00000150051	-0.806167496	MKX
ENSG00000132698	-0.805972894	RAB25
ENSG00000170006	-0.805867568	TMEM154
ENSG00000188987	-0.805638341	HIST1H4D
ENSG00000258445	-0.805234905	RP11-307P22.1
ENSG00000243224	-0.80471626	RP5-1157M23.2
ENSG00000136819	-0.803971019	C9orf78
ENSG00000099341	-0.803960223	PSMD8
ENSG00000181577	-0.80375272	C6orf223
ENSG00000170296	-0.803227541	GABARAP
ENSG00000160957	-0.802755932	RECQL4
ENSG00000137434	-0.802527041	C6orf52
ENSG00000172818	-0.801981763	OVOL1
ENSG00000108468	-0.801850104	CBX1
